block,count
O=c1oc(=O)c2cc3cc4c(=O)oc(=O)c4cc3cc12,1
[3*]O[3*],34
[15*]C1([15*])CCCCC1,1
[16*]c1ccc([16*])cc1,13
[16*]c1ccc2c(c1)C(=O)OC2=O,50
[6*]C([6*])=O,1
O=C1OC(=O)c2cc(S(=O)(=O)c3ccc4c(c3)C(=O)OC4=O)ccc21,1
[1*]C([6*])=O,27
O=C1OC(=O)C2C1C1C(=O)OC(=O)C21,1
[15*][C@@H]1CO[C@H]2[C@@H]1OC[C@H]2[15*],1
O=C1OC(=O)C2CC(C3CCCC4C(=O)OC(=O)C43)CCC12,1
[16*]c1cc(C)c([16*])c(C)c1,1
[5*]N[5*],15
[16*]c1ccc([16*])c([16*])c1,11
[8*]C(F)(F)F,10
[8*]C(C)(C)C,3
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)cc1,2
[6*]C(=O)Cl,1
O=C1OC(=O)C2CC(C3CCC4C(=O)OC(=O)C4C3)CCC12,1
[16*]c1cc(C)c([16*])c(C)c1C,1
[16*]c1cc(Cl)c([16*])cc1Cl,1
O=C1OC(=O)C2C3C=CC(C12)C1C(=O)OC(=O)C31,1
[15*][C@H]1CC[C@@H]([15*])CC1,1
O=C1OC(=O)[C@H]2C3CCC([C@@H]12)[C@@H]1C(=O)OC(=O)[C@H]31,1
[15*][C@H]1CC[C@H]([15*])CC1,1
[16*]c1ccc([16*])c(C)c1C,1
[8*]C([8*])(C(F)(F)F)C(F)(F)F,2
[16*]c1cc([16*])cc([16*])c1,4
CC12C(=O)OC(=O)C1(C)C1(C)C(=O)OC(=O)C21C,1
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,1
[16*]c1cccc2c1C(=O)OC2=O,2
[16*]c1ccc(Cl)c([16*])c1,2
[16*]c1ccc([16*])c(C)c1,1
O=C1OC(=O)C2CC3C(=O)OC(=O)C3CC12,1
[8*]C([8*])([8*])C(F)(F)F,1
O=C1OC(=O)[C@@H]2C[C@H]3C(=O)OC(=O)[C@H]3C[C@H]12,1
CC1=C(C)[C@@H]2[C@@H]3C(=O)OC(=O)[C@@H]3[C@H]1[C@@H]1C(=O)OC(=O)[C@@H]12,1
[8*]C([8*])(C)C,1
[16*]c1cc2c(cc1Cl)C(=O)OC2=O,1
O=C1OC(=O)[C@H]2[C@H]3C=C[C@@H]([C@@H]12)[C@@H]1C(=O)OC(=O)[C@H]31,1
[15*]C1CC2(CCC3(CC4CC3C3C(=O)OC(=O)C43)C2=O)CC2C(=O)OC(=O)C12,1
[8*]CC,1
[16*]c1ccc2c(c1)Oc1cc([16*])ccc1C21c2ccccc2-c2ccccc21,1
[15*]C1CCC([15*])CC1,1
[10*]N1C(=O)c2ccc([16*])cc2C1=O,1
CC12C(=O)OC(=O)C1C1(C)C(=O)OC(=O)C21,1
O=C1CC(C2CC(=O)OC2=O)C(=O)O1,1
[16*]c1ccc(C2(c3ccc([16*])cc3)OC(=O)c3ccccc32)cc1,1
[16*]c1ccc2c(c1)Oc1ccc([16*])cc1C21c2ccccc2-c2ccccc21,1
O=C1OC(=O)c2cc3c(cc21)C(=O)c1cc2c(cc1C3(c1ccccc1)C(F)(F)F)C(=O)OC2=O,1
CC1=C[C@H]2[C@H]3C(=O)OC(=O)[C@H]3[C@@H]1[C@H]1C(=O)OC(=O)[C@@H]21,1
O=C1OC(=O)C2C1C1CC2C2(CCC3(CC4CC3C3C(=O)OC(=O)C43)C2=O)C1,1
[15*][C@H]1CCCC[C@@H]1[15*],1
[8*]C[8*],1
O=C1OC(=O)C2CCC3C(=O)OC(=O)C4CCC1C2C43,1
O=C1OC(=O)C2C1CCCC2C1CCCC2C(=O)OC(=O)C21,1
[15*]C1(F)C([15*])(F)C(F)(F)C1(F)F,1
O=C1OC(=O)[C@H]2C[C@H]3C(=O)OC(=O)[C@@H]3C[C@H]12,1
O=C1CC(C2CC3C(=O)OC(=O)C3c3ccccc32)C(=O)O1,1
O=C1OC(=O)C2Cc3cc4c(cc3CC12)CC1C(=O)OC(=O)C1C4,1
Cc1ccc2c(c1)C1C(=O)OC(=O)C1CC2C1CC(=O)OC1=O,1
[7*]C1CCCC([7*])C1=O,1
[7*]C[8*],1
[16*]c1ccc(C2(c3ccc([16*])c(C)c3)OC(=O)c3ccccc32)cc1C,1
